epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,9909.73,2.06539,1.53093,1.0078,0.85331,0.67836,0.75348,0.32647,1.93073,1.20382,1.01705,0.0007162,0.0007162,0.0007162
45,10096,2.02698,1.43912,0.9896,0.87021,0.691,0.7657,0.34495,1.87812,1.19615,1.00144,0.0007096,0.0007096,0.0007096
46,10287.7,2.03487,1.43942,0.9939,0.79312,0.69151,0.73235,0.30426,1.97323,1.17999,1.01938,0.000703,0.000703,0.000703
47,10472.5,2.04108,1.46295,1.00696,0.79781,0.66853,0.73794,0.3159,1.92431,1.12411,1.01441,0.0006964,0.0006964,0.0006964
48,10662.4,2.01759,1.46457,0.99349,0.81782,0.68873,0.75615,0.32171,1.93676,1.11928,1.01412,0.0006898,0.0006898,0.0006898
49,10846.8,2.04957,1.43267,0.98765,0.81334,0.72372,0.78857,0.3542,1.8469,1.08986,0.99748,0.0006832,0.0006832,0.0006832
50,11038.2,1.97417,1.3155,0.999,0.87575,0.69715,0.80108,0.36602,1.84941,1.07526,0.9997,0.0006766,0.0006766,0.0006766
51,11221.7,1.97503,1.3256,0.99176,0.86691,0.74208,0.80959,0.37645,1.81838,0.99184,0.99177,0.00067,0.00067,0.00067
52,11412.9,2.04417,1.37669,0.98153,0.87163,0.74121,0.80741,0.3754,1.80081,1.02165,0.98686,0.0006634,0.0006634,0.0006634
53,11597.8,1.97816,1.34272,0.98614,0.86384,0.74569,0.82138,0.37304,1.7801,1.01532,0.9844,0.0006568,0.0006568,0.0006568
54,11789.1,1.93795,1.27523,0.98153,0.92694,0.72548,0.82804,0.37584,1.80701,0.99769,0.98644,0.0006502,0.0006502,0.0006502
55,11973.2,1.94068,1.27515,0.97787,0.89635,0.74021,0.82847,0.38896,1.74948,0.98646,0.97976,0.0006436,0.0006436,0.0006436
56,12163.9,1.94983,1.28555,0.98493,0.89581,0.74905,0.81427,0.35898,1.83114,1.00073,0.98906,0.000637,0.000637,0.000637
